"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 00:00","2019","06","01","00:00","10.5","","7.3","","80","","0.0","","36","","2","","","","100.03","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 01:00","2019","06","01","01:00","10.5","","6.5","","76","","0.0","","1","","4","","","","100.01","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 02:00","2019","06","01","02:00","9.9","","6.2","","78","","0.0","","36","","6","","","","100.04","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 03:00","2019","06","01","03:00","10.3","","6.0","","75","","0.0","","12","","7","","","","99.99","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 04:00","2019","06","01","04:00","10.4","","6.2","","76","","0.0","","1","","7","","","","100.03","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 05:00","2019","06","01","05:00","10.4","","5.4","","71","","0.0","","7","","7","","","","100.04","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 06:00","2019","06","01","06:00","10.5","","5.1","","69","","0.0","","7","","7","","","","100.07","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 07:00","2019","06","01","07:00","11.1","","5.7","","69","","0.0","","6","","6","","","","100.09","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 08:00","2019","06","01","08:00","11.8","","5.7","","66","","0.0","","5","","10","","","","100.11","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 09:00","2019","06","01","09:00","12.4","","5.6","","63","","0.0","","5","","10","","","","100.13","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 10:00","2019","06","01","10:00","13.8","","5.4","","57","","0.0","","7","","12","","","","100.10","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 11:00","2019","06","01","11:00","15.2","","4.5","","49","","0.0","","7","","14","","","","100.06","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 12:00","2019","06","01","12:00","16.3","","4.7","","46","","0.0","","8","","11","","","","100.01","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 13:00","2019","06","01","13:00","16.9","","5.2","","46","","0.0","","7","","11","","","","99.94","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 14:00","2019","06","01","14:00","17.6","","6.7","","49","","0.0","","8","","8","","","","99.90","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 15:00","2019","06","01","15:00","17.8","","6.7","","48","","0.0","","7","","12","","","","99.81","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 16:00","2019","06","01","16:00","18.3","","6.5","","46","","0.0","","8","","10","","","","99.75","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 17:00","2019","06","01","17:00","18.0","","6.3","","46","","0.0","","11","","7","","","","99.74","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 18:00","2019","06","01","18:00","17.9","","6.6","","48","","0.0","","8","","9","","","","99.74","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 19:00","2019","06","01","19:00","17.1","","7.9","","54","","0.0","","7","","7","","","","99.74","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 20:00","2019","06","01","20:00","16.5","","8.4","","59","","0.0","","8","","7","","","","99.72","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 21:00","2019","06","01","21:00","15.2","","8.3","","64","","0.0","","9","","7","","","","99.69","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 22:00","2019","06","01","22:00","14.3","","8.7","","69","","0.0","","7","","7","","","","99.67","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-01 23:00","2019","06","01","23:00","14.8","","8.3","","65","","0.0","","7","","9","","","","99.58","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 00:00","2019","06","02","00:00","14.1","","9.2","","72","","0.0","","8","","2","","","","99.57","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 01:00","2019","06","02","01:00","13.3","","10.2","","81","","0.0","","5","","2","","","","99.52","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 02:00","2019","06","02","02:00","12.8","","10.9","","88","","0.0","","36","","2","","","","99.50","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 03:00","2019","06","02","03:00","13.1","","10.6","","85","","0.0","","6","","4","","","","99.42","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 04:00","2019","06","02","04:00","12.7","","11.3","","91","","0.0","","26","","3","","","","99.42","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 05:00","2019","06","02","05:00","13.0","","11.3","","89","","0.0","","33","","7","","","","99.38","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 06:00","2019","06","02","06:00","13.1","","10.7","","85","","0.0","","5","","6","","","","99.35","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 07:00","2019","06","02","07:00","13.2","","10.6","","84","","0.0","","8","","8","","","","99.32","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 08:00","2019","06","02","08:00","13.0","","10.6","","86","","0.3","","13","","5","","","","99.33","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 09:00","2019","06","02","09:00","12.8","","11.2","","90","","1.6","","0","","1","","","","99.32","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 10:00","2019","06","02","10:00","12.9","","11.4","","91","","0.4","","35","","3","","","","99.31","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 11:00","2019","06","02","11:00","12.6","","11.6","","94","","0.2","","30","","2","","","","99.30","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 12:00","2019","06","02","12:00","13.1","","12.3","","95","","0.2","","26","","7","","","","99.30","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 13:00","2019","06","02","13:00","14.4","","12.8","","90","","0.0","","25","","7","","","","99.27","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 14:00","2019","06","02","14:00","17.3","","14.2","","82","","0.0","","25","","8","","","","99.21","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 15:00","2019","06","02","15:00","18.5","","12.9","","70","","0.0","","25","","8","","","","99.13","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 16:00","2019","06","02","16:00","18.6","","13.7","","73","","0.0","","17","","16","","","","99.03","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 17:00","2019","06","02","17:00","20.5","","9.4","","49","","0.0","","22","","25","","","","98.99","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 18:00","2019","06","02","18:00","19.9","","5.4","","39","","0.0","","27","","13","","","","99.03","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 19:00","2019","06","02","19:00","18.1","","4.3","","40","","0.0","","30","","20","","","","99.16","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 20:00","2019","06","02","20:00","16.4","","4.7","","46","","0.0","","30","","14","","","","99.28","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 21:00","2019","06","02","21:00","14.1","","4.5","","52","","0.0","","33","","12","","","","99.45","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 22:00","2019","06","02","22:00","13.3","","2.8","","49","","0.0","","31","","12","","","","99.50","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-02 23:00","2019","06","02","23:00","12.1","","2.7","","53","","0.0","","29","","10","","","","99.50","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 00:00","2019","06","03","00:00","10.7","","3.7","","62","","0.0","","26","","7","","","","99.52","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 01:00","2019","06","03","01:00","9.7","","3.5","","65","","0.0","","25","","6","","","","99.51","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 02:00","2019","06","03","02:00","8.5","","3.8","","72","","0.0","","26","","7","","","","99.49","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 03:00","2019","06","03","03:00","8.0","","3.6","","74","","0.0","","28","","8","","","","99.50","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 04:00","2019","06","03","04:00","7.5","","3.5","","76","","0.0","","29","","11","","","","99.55","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 05:00","2019","06","03","05:00","7.7","","2.9","","72","","0.0","","27","","17","","","","99.55","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 06:00","2019","06","03","06:00","8.4","","3.1","","69","","0.0","","25","","18","","","","99.56","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 07:00","2019","06","03","07:00","9.3","","2.5","","62","","0.0","","27","","23","","","","99.60","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 08:00","2019","06","03","08:00","7.0","","3.8","","80","","0.0","","28","","31","","","","99.70","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 09:00","2019","06","03","09:00","6.3","","3.7","","83","","0.4","","27","","29","","","","99.76","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 10:00","2019","06","03","10:00","6.5","","4.1","","85","","0.3","","27","","26","","","","99.81","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 11:00","2019","06","03","11:00","7.2","","4.6","","83","","0.0","","28","","23","","","","99.89","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 12:00","2019","06","03","12:00","8.5","","4.2","","74","","0.0","","29","","34","","","","99.98","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 13:00","2019","06","03","13:00","8.8","","5.4","","79","","0.0","","28","","26","","","","100.05","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 14:00","2019","06","03","14:00","8.6","","6.0","","84","","0.0","","29","","17","","","","100.11","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 15:00","2019","06","03","15:00","9.6","","6.6","","81","","0.2","","24","","12","","","","100.14","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 16:00","2019","06","03","16:00","12.6","","7.7","","72","","0.0","","25","","14","","","","100.16","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 17:00","2019","06","03","17:00","14.5","","6.6","","59","","0.0","","28","","12","","","","100.19","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 18:00","2019","06","03","18:00","15.4","","2.4","","42","","0.0","","29","","19","","","","100.21","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 19:00","2019","06","03","19:00","14.7","","2.0","","42","","0.0","","31","","11","","","","100.27","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 20:00","2019","06","03","20:00","12.6","","2.6","","51","","0.0","","31","","8","","","","100.33","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 21:00","2019","06","03","21:00","10.3","","3.1","","61","","0.0","","28","","4","","","","100.43","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 22:00","2019","06","03","22:00","10.9","","2.8","","57","","0.0","","29","","11","","","","100.48","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-03 23:00","2019","06","03","23:00","10.2","","2.2","","58","","0.0","","27","","8","","","","100.53","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 00:00","2019","06","04","00:00","8.7","","2.3","","64","","0.0","","28","","6","","","","100.57","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 01:00","2019","06","04","01:00","7.2","","2.8","","73","","0.0","","24","","4","","","","100.58","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 02:00","2019","06","04","02:00","6.4","","2.2","","74","","0.0","","26","","8","","","","100.60","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 03:00","2019","06","04","03:00","6.5","","2.0","","73","","0.0","","27","","10","","","","100.63","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 04:00","2019","06","04","04:00","5.8","","2.1","","77","","0.0","","25","","7","","","","100.66","","","","","","NA"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2019-06-04 05:00","2019","06","04","05:00","4.6","","2.1","","84","","0.0","","18","","5","","","","100.68","","","","","","NA"
